cde_id	source	amp_variable	amp_variable_description	amp_value_set	amp_extended_definition_comments	omop_concept_name	domain	omop_concept_class	omop_value_set	omop_value_as_strings	concept_comment	omop_vocab	datatype	units	omop_concept_id
56	AMP-AD	tissueWeight	Weight of tissue sample collected	Positive numeric value, typically in grams or milligrams		Weight of Tissue	Measurement	Lab Test			""	LOINC			3020366
57	AMP-AD	visit_month	Numeric visit in months; for visits prior baseline -1, -2 is an order of screening visits			Study Visit Window	Observation	Observable Entity			""	CDISC			37539837
58	AMP-AD	visitNumber	Sequential number assigned to each study visit	Positive integers starting from 1		Sequence number in substance administration series	Observation	Clinical Observation			""	LOINC			46235855
59	AMP-AD | AMP-CMD | AMP-PD | AMP-RA/SLE	sex	Sex	Male | Female | Intersex | Unknown		Recorded sex or gender	Observation	Clinical Observation	< | F | M | X		""	LOINC			1988369
60	AMP-CMD	Age	Age at which subject was enrolled in study or age at corresponding visit and data collection event.	Range: 0-120 years		Age	Observation	Clinical Observation			""	LOINC			3022304
61	AMP-CMD	age.range	Age Range	Categorical age groups (e.g., 18-30, 31-45, 46-60, 61-75, 76+)		Age group	Observation	Clinical Observation	<65 years | > or equal to 65 years | Adolescent | Adult | Aged | Child | Infant | Middle aged | Newborn | Pre-school		""	LOINC			3053159
62	AMP-CMD	age__unit__ontology_label	Ontology label for the unit of measurement used to express age	year | month | week | day		Age Unit	Observation	Observable Entity			""	CDISC			37531414
63	AMP-CMD	age_at_visit	Age of participant at time of clinical visit	Continuous; Range: 0-120; Unit: years		Age	Observation	Clinical Observation			""	LOINC		years	3022304
64	AMP-CMD	Age_binned	Age categorized into predefined bins or ranges	Categorical bins (e.g., <40, 40-49, 50-59, 60-69, 70+)		Age group	Observation	Clinical Observation	<65 years | > or equal to 65 years | Adolescent | Adult | Aged | Child | Infant | Middle aged | Newborn | Pre-school		""	LOINC			3053159
65	AMP-CMD	ageUnits	The unit of measure used for `ageEnrollment` and `ageDiagnosis`	years | months		Age	Meas Value	Qualifier Value			""	SNOMED			4265453
66	AMP-CMD	ancestry	Genetic ancestry or ancestral background of the participant	Free text or standardized ancestry categories (e.g., European, African, East Asian, South Asian, Hispanic/Latino, Native American, Middle Eastern, Mixed)		Your ancestry or national origin	Meas Value	Answer	What do you think was the main reason for this experience [PhenX]		""	LOINC			45880188
67	AMP-CMD	ancestry__ontology_id	Ontology identifier for participant ancestry	Ontology term ID (e.g., HANCESTRO:0008, HANCESTRO:0014)		Your ancestry or national origin	Meas Value	Answer	What do you think was the main reason for this experience [PhenX]		""	LOINC			45880188
68	AMP-CMD	ancestry__ontology_label	Standardized ontology term label for participant ancestry	Ontology-based controlled vocabulary (e.g., HANCESTRO)		Your ancestry or national origin	Meas Value	Answer	What do you think was the main reason for this experience [PhenX]		""	LOINC			45880188
69	AMP-CMD	Ballooning	Hepatocyte ballooning assessment score	0=None; 1=Few balloon cells; 2=Many cells/prominent ballooning		Ballooning degeneration	Observation	Morph Abnormality			""	SNOMED			4150811
71	AMP-CMD	BMI	Body Mass Index	Range: 10-100 kg/m²		Body mass index	Measurement	Observable Entity			""	SNOMED			4245997
72	AMP-CMD	bmi.range	Body Mass Index Range Category	Underweight (<18.5) | Normal weight (18.5-24.9) | Overweight (25-29.9) | Obese Class I (30-34.9) | Obese Class II (35-39.9) | Obese Class III (>=40)		BMI (body mass index) centile	Measurement	Observable Entity			""	SNOMED			40490382
73	AMP-CMD	bmi__unit__ontology_label	Ontology label for the unit of measurement used for Body Mass Index	Standardized ontology term (e.g., kg/m^2, kilograms per square meter)		Unit of measure	Unit	Qualifier Value			""	SNOMED			35624671
74	AMP-CMD	cohort	Cohort Identifier	required		cohort.cohort_definition_id	Metadata	Field			""	CDM			1147657
