cde_id	source	amp_variable	amp_variable_description	amp_value_set	amp_extended_definition_comments	omop_concept_name	domain	omop_concept_class	omop_value_set	omop_value_as_strings	concept_comment	omop_vocab	datatype	units	omop_concept_id
325	AMP-PD	pdq39_37_muscle_cramps	PDQ-39-Q37: Had painful muscle cramps or spasms?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Muscle spasm | Cramp	Condition	Clinical Finding | 5-char nonbill code			""	(composite)			1570832|75635
326	AMP-PD	pdq39_38_joint_pains	PDQ-39-Q38: Had aches and pains in your joints or body?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Muscle or body aches | Joint pain	Condition | Meas Value	Clinical Finding | Answer	Main symptoms experienced by people infected with condition of interest		""	(composite)			1989954|77074
327	AMP-PD	pdq39_39_hot_or_cold	PDQ-39-Q39: Felt uncomfortably hot or cold?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Sensation of hot and cold	Observation	Clinical Finding			""	SNOMED			4012122
328	AMP-PD	pdq39_adl_score	PDQ-39-Total Score-Activities Of Daily Living (ADL)	0 - 100		PDQ-39	Measurement	Staging / Scales			""	CDISC			37550978
329	AMP-PD	pdq39_cognition_score	PDQ-39-Total Score-Cognitive Impairment (Cognitions)	0 - 100		PDQ-39	Measurement	Staging / Scales			""	CDISC			37550978
330	AMP-PD	pdq39_communication_score	PDQ-39-Total Score-Communication	0 - 100		PDQ-39	Measurement	Staging / Scales			""	CDISC			37550978
331	AMP-PD	pdq39_discomfort_score	PDQ-39-Total Score-Bodily Discomfort	0 - 100		PDQ-39	Measurement	Staging / Scales			""	CDISC			37550978
332	AMP-PD	pdq39_emotional_score	PDQ-39-Total Score-Emotional Well Being	0 - 100		PDQ-39	Measurement	Staging / Scales			""	CDISC			37550978
333	AMP-PD	pdq39_mobility_score	PDQ-39-Total Score-Mobility	0 - 100		PDQ-39	Measurement	Staging / Scales			""	CDISC			37550978
334	AMP-PD	pdq39_social_score	PDQ-39-Total Score-Social Support	0 - 100		PDQ-39	Measurement	Staging / Scales			""	CDISC			37550978
335	AMP-PD	pdq39_stigma_score	PDQ-39-Total Score-Stigma	0 - 100		Neuro-Qol short form - stigma - version 1.0	Observation	Survey			""	LOINC			40770510
336	AMP-PD	pres_symptom	Presenting symptom	Cognitive symptoms | Motor symptoms | Both cognitive and motor symptoms | Psychiatric (depression/anxiety/psychosis) | NA		Chief complaint	Condition	Observable Entity			""	SNOMED			37158808
337	AMP-PD	prodromal_category	At-risk for PD individuals having the same diagnosis as healthy controls with enrollment criterion hyposmia or REM Sleep Behavior Disorder. The rest are Unknown/Not collected as enrollment criterion			UPD2-Hallucinations and Psychosis	Observation	Observable Entity			""	CDISC			37524576
338	AMP-PD	psychosis	Psychotic thought disorder	Yes | No | NA		Psychotic disorder	Condition	Disorder			""	SNOMED			436073
339	AMP-PD	race	Race	White | Black or African American | Native Hawaiian or Other Pacific Islander | Asian | American Indian or Alaska Native | Unknown | Multiracial		Race	Observation	Clinical Observation	American Indian or Alaska Native | American Indian/Alaskan Native | Asian | Asian Indian | Black or African American | Black/African American | I choose not to answer this question | Multiple races | Native Hawaiian | Native Hawaiian or Other Pacific Islander | Other | Other Pacific Islander | Pacific Islander | Prefer not to say | Samoan or Native Hawaiian | Unknown | White		""	LOINC			3046853
340	AMP-PD	rbd	REM-sleep behavior disorder (per history or polysomnogram)	Yes | No | NA		REM sleep behavior disorder	Condition	Disorder			""	SNOMED			439007
341	AMP-PD	rbd01_vivid_dreams	RBD 01. Vivid Dreams	No | Yes		Vivid dreaming	Meas Value	Answer	Thought disorder scale [UPDRS]		""	LOINC			46238155
342	AMP-PD	rbd02_aggressive_or_action_packed_dreams	RBD 02. Aggressive Or Action-Packed Dreams	No | Yes		Dream | Aggressive behavior	Observation	Observable Entity | Clinical Finding			""	(picked set)			4215467|4266361
343	AMP-PD	rbd03_nocturnal_behaviour	RBD 03. Nocturnal Behaviour	No | Yes		Sleep behavior	Observation	Observable Entity			""	SNOMED			4229575
344	AMP-PD	rbd04_move_arms_legs_during_sleep	RBD 04. Move Arms and Legs During Sleep	No | Yes		Periodic leg movements of sleep	Condition	Clinical Finding			""	SNOMED			40482425
345	AMP-PD	rbd05_hurt_bed_partner	RBD 05. Hurt Bed Partner	No | Yes		Do you ever move so much during your sleep that you accidentally hit your bed partner, if any, or hurt yourself? [PhenX]	Observation	Clinical Observation	45878245 | 45877994 | 45877986	No | Yes | Unknown	""	LOINC			40768319
346	AMP-PD	rbd06_1_speaking_in_sleep	RBD 06.1 Speaking In Sleep	No | Yes		Sleeptalking	Observation	Clinical Finding			""	SNOMED			4263778
347	AMP-PD	rbd06_2_sudden_limb_movements	RBD 06.2 Sudden Limb Movements	No | Yes		Periodic leg movements of sleep	Condition	Clinical Finding			""	SNOMED			40482425
348	AMP-PD	rbd06_3_complex_movements	RBD 06.3 Complex Movements	No | Yes		Sleep behavior | Ability to make coordinated movements	Observation	Observable Entity			""	(composite)			4229575|4229704
349	AMP-PD	rbd06_4_things_fell_down	RBD 06.4 Things Fell Down	No | Yes		REM sleep behavior disorder	Condition	Disorder			""	SNOMED			439007
350	AMP-PD	rbd07_my_movements_awake_me	RBD 07. My Movements Awake Me	No | Yes		Sleep related movement disorder | Awakening	Condition | Observation	Disorder | Qualifier Value			""	(composite)			35626941|4227984
351	AMP-PD	rbd08_remember_dreams	RBD 08. Remember Dreams	No | Yes		Detailed recall of dream	Observation	Clinical Finding			""	SNOMED			4092272
352	AMP-PD	rbd09_sleep_is_disturbed	RBD 09. Sleep Is Disturbed	No | Yes		REM sleep behavior disorder	Condition	Disorder			""	SNOMED			439007
353	AMP-PD	rbd10_nervous_system_disease	RBD 10. Nervous system Disease	No | Yes		Disorder of nervous system	Condition	Disorder			""	SNOMED			376337
354	AMP-PD	rbd10a_stroke	RBD 10a Stroke	No | Yes		Cerebrovascular accident	Condition	Disorder			""	SNOMED			381316
355	AMP-PD	rbd10b_head_trauma	RBD 10b Head Trauma	No | Yes		Traumatic brain injury	Condition	Disorder			""	SNOMED			4132546
356	AMP-PD	rbd10c_parkinsonism	RBD 10c Parkinsonism	No | Yes		Parkinsonism	Condition	Disorder			""	SNOMED			4140090
357	AMP-PD	rbd10d_rls	RBD 10d RLS	No | Yes		Restless legs	Condition	Disorder			""	SNOMED			73754
358	AMP-PD	rbd10e_narcolepsy	RBD 10e Narcolepsy	No | Yes		Narcolepsy	Condition	Disorder			""	SNOMED			436100
359	AMP-PD	rbd10f_depression	RBD 10f Depression	No | Yes		Depression screening	Measurement	Procedure			""	SNOMED			4064377
360	AMP-PD	rbd10g_epilepsy	RBD 10g Epilepsy	No | Yes		Epilepsy assessment	Procedure	Procedure			""	SNOMED			4258414
361	AMP-PD	rbd10h_brain_inflammatory_disease	RBD 10h Inflammatory Disease Of The Brain	No | Yes		Inflammatory disease of the central nervous system	Condition	Disorder			""	SNOMED			4190307
362	AMP-PD	rbd10i_other	RBD 10i Other	No | Yes		Other: Other Conditions	Observation	Question	Including yourself, who in your family has had acne? - Self | Including yourself, who in your family has had allergies? - Self | Including yourself, who in your family has had an enlarged prostate? - Self | Including yourself, who in your family has had endometriosis? - Self | Including yourself, who in your family has had fibroids? - Self | Including yourself, who in your family has had obesity? - Self | Including yourself, who in your family has had other condition(s)? - Self | Including yourself, who in your family has had polycystic ovarian syndrome? - Self | Including yourself, who in your family has had reactions to anesthesia (such as hyperthermia)? - Self | Including yourself, who in your family has had skin condition(s) (e.g., eczema, psoriasis)? - Self | Including yourself, who in your family has had vitamin B deficiency? - Self | Including yourself, who in your family has had vitamin D deficiency? - Self		""	PPI			1384430
363	AMP-PD	rbd_info_source	RBD Source Of Information	Patient | Patient and Caregiver | Caregiver		Information source	Measurement	Clinical Observation			""	LOINC			3048270
364	AMP-PD	rbd_summary_score	RBD Summary Score	0 - 13		RBDSQ | Summated scale score	Measurement	Staging / Scales			""	CDISC			37551141|4090444
365	AMP-PD	ref1_left_reference	Left Reference	0-1		Left	Meas Value	Answer	Anatomic part Laterality | Dominant hand [PhenX] | Ear with hearing difficulty Ear [PhenX] | Exam finding location of Lung | Eye [PhenX] | Eye for far infravergence measurement | Eye for far supravergence measurement | Eye for near infravergence measurement | Eye for near supravergence measurement | Eye that sees the larger image in horizontal aniseikonia | Eye that sees the larger image in vertical aniseikonia | Eye that was covered with red lens during test | Hand dominance - clean teeth [EHI] | Hand dominance - coloring [ALSPAC] | Hand dominance - cut food with a knife [EHI] | Hand dominance - deal cards [EHI] | Hand dominance - draw [EHI] | Hand dominance - drawing [ALSPAC] | Hand dominance - hammer [EHI] | Hand dominance - hold a racquet [EHI] | Hand dominance - holding a toothbrush [ALSPAC] | Hand dominance - strike a match [EHI] | Hand dominance - thread a needle [EHI] | Hand dominance - throw [EHI] | Hand dominance - throwing a ball [ALSPAC] | Hand dominance - use an eraser [EHI] | Hand dominance - write [EHI] | Hand scanned [PhenX] | Hip scanned Hip [PhenX] | Knee scanned [PhenX] | Laterality [PhenX] | On which side was your breast operation [FACIT] | Right or left ear Ear [PhenX] | Side [PhenX] | Which hand [PhenX] | Which testicle was this [PhenX]		""	LOINC			45883143
366	AMP-PD	ref2_right_reference	Right Reference	0-1		Right	Measurement	Qualifier Value			""	Cancer Modifier/Measurement/S			36770058
367	AMP-PD	roi1_left_rostral	Left Rostral	0-1		Anterior | Left	Meas Value | Observation	Qualifier Value			""	(composite)			4115458|4300877
368	AMP-PD	roi2_left_middle	Left Middle	0-1		Middle | Left	Meas Value | Measurement	Qualifier Value | Topography			""	(composite)			36770562|4300877
369	AMP-PD	roi3_left_caudal	Left Caudal	0-1		Caudal | Brain region | Left	Spec Anatomic Site | Meas Value	Body Structure | Qualifier Value | Answer	Body location qualifier		""	(composite)			21498325|4293159|4300877
370	AMP-PD	roi4_right_rostral	Right Rostral	0-1		Right | Brain region	Spec Anatomic Site | Meas Value	Body Structure | Qualifier Value			""	(composite)			4080761|4293159
371	AMP-PD	roi5_right_middle	Right Middle	0-1		Middle | Right | Brain region	Spec Anatomic Site | Meas Value | Measurement	Body Structure | Qualifier Value | Topography			""	(composite)			36770562|4080761|4293159
372	AMP-PD	roi6_right_caudal	Right Caudal	0-1		Caudal | Right | Brain region	Spec Anatomic Site | Meas Value	Body Structure | Qualifier Value | Answer	Body location qualifier		""	(composite)			21498325|4080761|4293159
373	AMP-PD	sample_type	Type of biospecimen used for analysis, e.g. CSF, Plasma, Serum, Blood, RNA	CSF, Plasma, RNA, Serum		specimen.specimen_concept_id					""				1147051
374	AMP-PD	sbr_caudate_l	Brain region used for ROI sampling for SBR quantitative analysis - left caudate SBR	0-5		Caudate nucleus structure | Left sided	Spec Anatomic Site | Observation	Body Structure | Qualifier Value			""	(composite)			4001330|4137157
375	AMP-PD	sbr_caudate_r	Brain region used for ROI sampling for SBR quantitative analysis - right caudate SBR	0-5		Caudate nucleus structure | Right sided	Spec Anatomic Site | Observation	Body Structure | Qualifier Value			""	(composite)			4001330|4141311
376	AMP-PD	sbr_putamen_l	Brain region used for ROI sampling for SBR quantitative analysis - left putamen SBR	0-5		Left sided | Structure of putamen	Spec Anatomic Site | Observation	Body Structure | Qualifier Value			""	(composite)			4137157|4229760
377	AMP-PD	sbr_putamen_r	Brain region used for ROI sampling for SBR quantitative analysis - right putamen SBR	0-5		Right sided | Structure of putamen	Spec Anatomic Site | Observation	Body Structure | Qualifier Value			""	(composite)			4141311|4229760
378	AMP-PD	scan_months_after_baseline	Number of months after baseline visit at which DaTSCAN scan occurred; negative values indicate scan occurred before baseline			Radionuclide imaging of brain using ioflupane (123-I)	Procedure	Procedure			""	SNOMED			4332526
379	AMP-PD	score_from_booklet_1	UPSIT Score From Booklet #1	0 - 10		Assessment using University of Pennsylvania Smell Identification Test	Measurement	Procedure			""	SNOMED			3654978
380	AMP-PD	score_from_booklet_2	UPSIT Score From Booklet #2	0 - 10		Assessment using University of Pennsylvania Smell Identification Test	Measurement	Procedure			""	SNOMED			3654978
381	AMP-PD	score_from_booklet_3	UPSIT Score From Booklet #3	0 - 10		Assessment using University of Pennsylvania Smell Identification Test	Measurement	Procedure			""	SNOMED			3654978
382	AMP-PD	score_from_booklet_4	UPSIT Score From Booklet #4	0 - 10		Assessment using University of Pennsylvania Smell Identification Test	Measurement	Procedure			""	SNOMED			3654978
383	AMP-PD	sex	Sex	Male | Female | Intersex | Unknown		Recorded sex or gender	Observation	Clinical Observation	< | F | M | X		""	LOINC			1988369
384	AMP-PD	smell_detail	UPSIT 40 smell test score	[0-40] | NA		Assessment using University of Pennsylvania Smell Identification Test	Measurement	Procedure			""	SNOMED			3654978
385	AMP-PD	smoke_exposure_home	How many hours a day are you exposed to the cigarette smoke of others (on average) at home?	0 - 15		At the present time, how many hours per day are you exposed to the smoke of others [PhenX]	Observation	Clinical Observation			""	LOINC			40766593
386	AMP-PD	smoke_exposure_other_areas	How many hours a day are you exposed to the cigarette smoke of others (on average) in other areas?	0 - 10		For how many hours per day were you exposed to smoke from other peoples cigarettes or tobacco products during this time at this location [PhenX]	Observation	Clinical Observation			""	LOINC			40766591
387	AMP-PD	smoke_exposure_work	How many hours a day are you exposed to the cigarette smoke of others (on average) at work?	0 - 10		At the present time, how many hours per day are you exposed to the smoke of others [PhenX]	Observation	Clinical Observation			""	LOINC			40766593
388	AMP-PD	smoked_100_more_cigarettes	Current tobacco use indicator	Yes | No | Unknown		Smoked at least 100 cigarettes in entire life	Observation	Clinical Observation			""	LOINC/Observation/S			40766306
389	AMP-PD	spect_pet_perf	SPECT or PET perfusion scan showing occipital hypometabolism	Yes | No | NA		Brain imaging, positron emission tomography (PET); perfusion evaluation | Occipital Brain	Procedure | Measurement	CPT4 | Topography			""	(composite)			2212019|36770494
390	AMP-PD	study_arm	Cohort (PD, healthy control, subjects with Scans Without Evidence of Dopaminergic Deficit [SWEDD], Prodromal, Genetic Cohort PD, or Genetic Cohort Unaffected) determined by the inclusion/exclusion criteria established in the study protocol. A given participant's cohort does not change over time, even if the participant develops or is later found to have characteristics of another cohort .			Clinical trial arm	Observation	Observable Entity			""	SNOMED			618771
391	AMP-PD	surgery_for_parkinson_disease	Type Of Surgery For Parkinson Disease			Parkinson's disease | Deep brain stimulation	Condition | Procedure	Disorder | Procedure			""	(composite)			381270|4046932
392	AMP-PD	test_name	Name of the biospecimen test	Abeta, Tau, beta-glucocerebrosidase, p-Tau		Referral lab test name	Measurement	Lab Test			""	LOINC			3017278
393	AMP-PD	test_units	Biospecimen test units of measure	%CV, Average (pmol/min/mL), Ct Avg, RFU, Stdev, mg/mL, ng/mL, pg/mL, ug/mL		Unit of measure	Unit	Qualifier Value			""	SNOMED			35624671
394	AMP-PD	test_value	Biospecimen test result (numeric)	-10-713, 0-22, 1-3710, 49-354600		Preliminary testing result Specimen	Measurement	Clinical Observation	Influenza A | Influenza B | Negative | Other		""	LOINC			36303625
395	AMP-PD	tobacco_current_use	Indicator of whether in your lifetime subject have smoked 100 or more cigarettes (5 packs)	Yes | No | Unknown		Tobacco smoking status	Observation	Clinical Observation	Current every day smoker | Current some day smoker | Former smoker | Heavy tobacco smoker | Light tobacco smoker | Never smoker | Smoker, current status unknown | Unknown if ever smoked		""	LOINC			43054909
396	AMP-PD	tobacco_ever_used	Indicator of whether subject has ever used tobacco	Yes | No | Unknown		Lifetime tobacco use	Observation	Clinical Observation			""	LOINC			44786669
397	AMP-PD	tobacco_prior_use	Indicator of the participant's/subject's past regular tobacco (e.g. cigarettes, cigars, chewing tobacco or pipe) use prior to the past 12 months	Yes | No | Unknown		How often have you used any tobacco product in past 12 months	Observation	Clinical Observation	Daily or almost daily | Less than monthly | Monthly | Never | Once or twice | Weekly		""	LOINC			1617710
398	AMP-PD	tobacco_product_type	Type of tobacco product that has been used			Type of tobacco used	Observation	Observable Entity			""	SNOMED			37172639
399	AMP-PD	tobacco_recent_use	Tobacco recent use indicator	Yes | No | Unknown		Documentation that patient is a current tobacco user	Observation	HCPCS			""	HCPCS			44786481
400	AMP-PD	tobacco_start_age	Age in years when participant/subject started using tobacco products (e.g. cigarettes, cigars, chewing tobacco or pipe)	6 - 75		PhenX - tobacco - age of initiation of use - adolescent protocol 030701	Measurement	Clinical Observation			""	LOINC			40765292
401	AMP-PD	tobacco_stop_age	Age in years when participant/subject stopped using tobacco products (e.g. cigarettes, cigars, chewing tobacco or pipe)	13 - 85		Age when stopped smoking cigarettes completely	Observation	Clinical Observation			""	LOINC			37020654
402	AMP-PD	upd101_intellect_impairment	UPDRS - Mentation, Behavior and Mood: Intellectual Impairment (UPD101)	0 - 4		Intellectual impairment scale [UPDRS]	Measurement	Clinical Observation	46237859 | 46237417 | 45878582 | 46237369 | 46238049	Moderate memory loss, with disorientation and moderate difficulty handling complex problems, Mild but definite impairment of function at home with need of occasional prompting | Mild. Consistent forgetfulness with partial recollection of events and no other difficulties | None | Severe memory loss with orientation preserved to person only. Unable to make judgments or solve problems. Requires much help with personal care. Cannot be left alone at all | Severe memory loss with disorientation for time and often to place. Severe impairment in handling problems	""	LOINC			46236376
403	AMP-PD	upd102_thought_disorder	UPDRS - Mentation, Behavior and Mood: Thought Disorder (UPD102)	0 - 4		Thought disorder scale [UPDRS]	Measurement	Clinical Observation	46237418 | 46238155 | 45878582 | 46238050 | 46237814	Benign hallucinations with insight retained | Vivid dreaming | None | Persistent hallucinations, delusions, or florrid psychosis. Not able to care for self | Occasional to frequent hallucinations or delusions; without insight; could interfere with daily activities	""	LOINC			46236377
404	AMP-PD	upd103_depression	UPDRS - Mentation, Behavior and Mood: Depression (UPD103)	0 - 4		Depression scale [UPDRS]	Measurement	Clinical Observation	46238156 | 46237451 | 45878582 | 46237452 | 46238157	Sustained depression 1 week or more | Periods of sadness or guilt greater than normal, never sustained for days or weeks | None | Sustained depression with vegetative symptoms and suicidal thoughts or intent | Sustained depression with vegetative symptoms insomnia, anorexia, weight loss, loss of interest	""	LOINC			46236378
405	AMP-PD	upd104_motivation	UPDRS - Mentation, Behavior and Mood: Motivation/Initiative (UPD104)	0 - 4		Motivation or initiative scale [UPDRS]	Measurement	Clinical Observation	46238051 | 46237419 | 45884153 | 46238158 | 46237370	Withdrawn, complete loss of motivation | Loss of initiative or disinterest in day to day routine activities | Normal | Less assertive than usual; more passive | Loss of initiative or disinterest in elective nonroutine activities	""	LOINC			46236379
406	AMP-PD	upd105_speech	UPDRS - Activities of Daily Living: Speech (UPD105)	0 - 4		Speech scale [UPDRS]	Measurement	Clinical Observation	36310308 | 36308278 | 36307999 | 45884153 | 36310531	Mildly affected. No difficulty being understood. | Moderately affected. Sometimes asked to repeat statements. | Severely affected. Frequently asked to repeat statements. | Normal | Unintelligible most of the time.	""	LOINC			46236380
407	AMP-PD	upd106_salivation	UPDRS - Activities of Daily Living: Salivation (UPD106)	0 - 4		Salivation scale [UPDRS]	Measurement	Clinical Observation	46237815 | 45884153 | 46237977 | 46237860 | 46238052	Marked drooling, requires constant tissue or handkerchief | Normal | Moderately excessive saliva; may have minimal drooling | Slight but definite excess of saliva in mouth; may have nighttime drooling | Marked excess of saliva with some drooling	""	LOINC			46236381
408	AMP-PD	upd107_swallowing	UPDRS - Activities of Daily Living: Swallowing (UPD107)	0 - 4		Swallowing scale [UPDRS]	Measurement	Clinical Observation	46237371 | 45884153 | 46237978 | 46238053 | 46237816	Occasional choking | Normal | Requires soft food | Rare choking | Requires NG tube or gastrostomy feeding	""	LOINC			46236382
409	AMP-PD	upd108_handwriting	UPDRS - Activities of Daily Living: Handwriting (UPD108)	0 - 4		Handwriting scale [UPDRS]	Measurement	Clinical Observation	46237979 | 45884153 | 46237453 | 46237980 | 46237861	Slightly slow or small | Normal | The majority of words are not legible | Moderately slow or small; all words are legible | Severely affected; not all words are legible	""	LOINC			46236383
410	AMP-PD	upd109_cutting_food	UPDRS - Activities of Daily Living: Cutting Food and Handling Utensils (UPD109)	0 - 4		Utensils scale [UPDRS]	Measurement	Clinical Observation	46237372 | 45884153 | 46238055 | 46237862 | 46238054	Can cut most foods, although clumsy and slow; some help needed | Normal | Needs to be fed | Food must be cut by someone, but can still feed slowly | Somewhat slow and clumsy, but no help needed	""	LOINC			46236384
411	AMP-PD	upd110_dressing	UPDRS - Activities of Daily Living: Dressing (UPD110)	0 - 4		Dressing scale [UPDRS]	Measurement	Clinical Observation	46238159 | 46237420 | 46238057 | 46238056 | 45884153	Helpless | Somewhat slow, but no help needed | Considerable help required, but can do some things alone | Occasional assistance with buttoning, getting arms in sleeves | Normal	""	LOINC			46236385
412	AMP-PD	upd111_hygiene	UPDRS - Activities of Daily Living: Hygiene (UPD111)	0 - 4		Hygiene scale [UPDRS]	Measurement	Clinical Observation	46237420 | 46238160 | 45884153 | 46238161 | 46238162	Somewhat slow, but no help needed | Needs help to shower or bathe; or very slow in hygienic care | Normal | Requires assistance for washing, brushing teeth, combing hair, going to bathroom | Foley catheter or other mechanical aids	""	LOINC			46236386
413	AMP-PD	upd112_turning_in_bed	UPDRS - Activities of Daily Living: Turning in Bed and Adjusting Bed Clothes (UPD112)	0 - 4		Turning in bed and adjusting bed clothes scale [UPDRS]	Measurement	Clinical Observation	46238159 | 46237421 | 45884153 | 46237422 | 46238054	Helpless | Can turn alone or adjust sheets, but with great difficulty | Normal | Can initiate, but not turn or adjust sheets alone | Somewhat slow and clumsy, but no help needed	""	LOINC			46236387
414	AMP-PD	upd113_falling	UPDRS - Activities of Daily Living: Falling (UPD113)	0 - 4		Fall scale [UPDRS]	Measurement	Clinical Observation	36310703 | 36309672 | 36308130 | 36309663 | 45878582	Falls more than once daily | Occasionally falls, less than once per day | Rare falling | Falls an average of once daily | None	""	LOINC			46236388
415	AMP-PD	upd114_freezing_walking	UPDRS - Activities of Daily Living: Freezing When Walking (UPD114)	0 - 4		Walking freeze scale [UPDRS]	Measurement	Clinical Observation	46237454 | 46237863 | 46237981 | 46238163 | 45878582	Rare freezing when walking; may have start hesitation | Frequent freezing. Occasionally falls from freezing | Occasional freezing when walking | Frequent falls from freezing | None	""	LOINC			46236389
416	AMP-PD	upd115_walking	UPDRS - Activities of Daily Living: Walking (UPD115)	0 - 4		Walking scale [UPDRS]	Measurement	Clinical Observation	46237423 | 46238164 | 46237173 | 45884153 | 46237817	Mild difficulty. May not swing arms or may tend to drag leg | Severe disturbance of walking, requiring assistance | Cannot walk at all, even with assistance | Normal | Moderate difficulty, but requires little or no assistance	""	LOINC			46236390
417	AMP-PD	upd116_tremor	UPDRS - Activities of Daily Living: Tremor (UPD116)	0 - 4		Tremor scale [UPDRS]	Measurement	Clinical Observation	46238165 | 45884086 | 46237864 | 46237818 | 46237618	Marked; interferes with most activities | Absent | Moderate; bothersome to patient | Severe; interferes with many activities | Slight and infrequently present	""	LOINC			46236391
418	AMP-PD	upd117_sensory_complaints	UPDRS - Activities of Daily Living: Sensory Complaints Related to Parkinsonism (UPD117)	0 - 4		Sensory complaints related to parkinsonism scale [UPDRS]	Measurement	Clinical Observation	46237373 | 46237455 | 46237424 | 46238058 | 45878582	Frequent painful sensations | Occasionally has numbness, tingling, or mild aching | Excruciating pain | Frequently has numbness, tingling, or aching; not distressing | None	""	LOINC			46236392
419	AMP-PD	upd118_speech	UPDRS - Motor Examination: Speech (UPD118)	0 - 4		Speech [UPDRS]	Observation	Clinical Observation	45877135 | 45882621 | 45881765 | 45884153 | 45878905	Monotone, slurred but understandable; moderately impaired | Unintelligible | Marked impairment, difficult to understand | Normal | Slight loss of expression, diction, and/or volume	""	LOINC			40768722
420	AMP-PD	upd119_facial_expression	UPDRS - Motor Examination: Facial Expression (UPD119)	0 - 4		Facial expression [UPDRS]	Observation	Clinical Observation	45882622 | 45881768 | 45881767 | 45884153 | 45881766	"Masked or fixed faces with severe or complete loss of facial expression; lips parted one fourth inch or more | Moderate hypomimia; lips parted some of time | Slight but definitely abnormal diminution of facial expression | Normal | Minimal hypomimia, could be normal ""Poker Face"""	""	LOINC			40768723
421	AMP-PD	upd120a_tremor_face_lips_chin	UPDRS - Motor Examination: Tremor at Rest, Face, Lips, Chin (UPD120A)	0 - 4		Resting tremor | Chin structure	Condition | Spec Anatomic Site	Clinical Finding | Body Structure			""	(composite)			4096245|4147228
422	AMP-PD	upd120b_tremor_rest_hand_rt	UPDRS - Motor Examination: Tremor at Rest, Hands, Right (UPD120B)	0 - 4		Tremor at rest Upper extremity - right [UPDRS]	Measurement	Clinical Observation	46237182 | 46237178 | 45884086 | 46237618 | 46238175	Moderate in amplitude and present most of the time | Marked in amplitude and present most of the time | Absent | Slight and infrequently present | Mild in amplitude and persistent. Or moderate in amplitude, but only intermittently present	""	LOINC			40768719
423	AMP-PD	upd120c_tremor_rest_hand_lt	UPDRS - Motor Examination: Tremor at Rest, Hands, Left (UPD120C)	0 - 4		Tremor at rest Upper extremity - left [UPDRS]	Measurement	Clinical Observation	46237182 | 46237178 | 45884086 | 46237618 | 46238175	Moderate in amplitude and present most of the time | Marked in amplitude and present most of the time | Absent | Slight and infrequently present | Mild in amplitude and persistent. Or moderate in amplitude, but only intermittently present	""	LOINC			40768870
424	AMP-PD	upd120d_tremor_rest_feet_rt	UPDRS - Motor Examination: Tremor at Rest, Feet, Right (UPD120D)	0 - 4		Tremor at rest Lower extremity - right [UPDRS]	Measurement	Clinical Observation	46237182 | 46237178 | 45884086 | 46237618 | 46238175	Moderate in amplitude and present most of the time | Marked in amplitude and present most of the time | Absent | Slight and infrequently present | Mild in amplitude and persistent. Or moderate in amplitude, but only intermittently present	""	LOINC			40768871
425	AMP-PD	upd120e_tremor_rest_feet_lt	UPDRS - Motor Examination: Tremor at Rest, Feet, Left (UPD120E)	0 - 4		Tremor at rest Lower extremity - left [UPDRS]	Measurement	Clinical Observation	46237182 | 46237178 | 45884086 | 46237618 | 46238175	Moderate in amplitude and present most of the time | Marked in amplitude and present most of the time | Absent | Slight and infrequently present | Mild in amplitude and persistent. Or moderate in amplitude, but only intermittently present	""	LOINC			40768872
426	AMP-PD	upd121a_action_tremor_hand_rt	UPDRS - Motor Examination: Action Tremor, Hand, Right (UPD121A)	0 - 4		UPD1--Motor:Action Tremor:Hand: Right	Observation	Observable Entity	Absent | Marked in amplitude; interferes with feeding | Moderate in amplitude with posture holding as well as action | Moderate in amplitude, present with action | Slight; present with action		""	CDISC			37529918
427	AMP-PD	upd121b_action_tremor_hand_left	UPDRS - Motor Examination: Action Tremor, Hand, Left (UPD121B)	0 - 4		UPD1--Motor:Action Tremor:Hand: Left	Observation	Observable Entity	Absent | Marked in amplitude; interferes with feeding | Moderate in amplitude with posture holding as well as action | Moderate in amplitude, present with action | Slight; present with action		""	CDISC			37535098
428	AMP-PD	upd122a_rigidity_neck	UPDRS - Motor Examination: Rigidity Neck (UPD122A)	0 - 4		Rigidity Neck [UPDRS]	Measurement	Clinical Observation	45884086 | 45876873 | 45883241 | 45876872 | 46237628	Absent | Mild to moderate | Marked, but full range of motion easily achieved | Slight or detectable only when activated by mirror or other movements | Severe, range of motion achieved with difficulty	""	LOINC			40768721
429	AMP-PD	upd122b_rigidity_up_extrem_rt	UPDRS - Motor Examination: Rigidity Upper Extremity, Right (UPD122B)	0 - 4		Rigidity Upper extremity - right [UPDRS]	Measurement	Clinical Observation	45884086 | 45876873 | 45883241 | 45876872 | 46237628	Absent | Mild to moderate | Marked, but full range of motion easily achieved | Slight or detectable only when activated by mirror or other movements | Severe, range of motion achieved with difficulty	""	LOINC			40768873
